Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Cadencia de carrera media,Cadencia de carrera máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Dificultad,Fluidez,Brazadas totales,Swolf medio,Velocidad media de palada,Repeticiones totales,Series totales,Tiempo de inmersión,Temperatura mínima,Intervalo en superficie,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Ciclismo virtual,2022-09-28 09:30:00,false,"Zwift - Group Workout: Long | Pyramids | ZA Road 2022 on Sprinter s Playground in Makuri Islands","16.56","270","00:45:02","--","--","0","0","22.1","41.2","86","--","0.00","0.0","0.0","0","81","97","116","0.0","114","103","266","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:15.00","27","0.0","00:43:38","00:46:14","122","142"
Ciclismo en sala,2022-09-28 09:29:27,false,"Ciclismo en sala","20.28","283","00:46:56","144","171","0","0","25.9","31.7","--","--","0.00","0.0","0.0","0","80","99","--","0.0","--","0","0","0.0","0.0","3758","0","0","0","--","0:00","0.0","0:00","No","46:55.90.4","1","0.0","00:46:53","00:50:18","--","--"
Caminar,2022-09-27 15:25:07,false,"Sabaneta Caminar","0.62","37","00:11:30","107","138","82","160","18:41","11:54","5","4","0.65","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","11:30.33.5","1","0.0","00:11:12","00:13:38","1,614","1,622"
Ciclismo en sala,2022-09-27 08:19:33,false,"Ciclismo en sala","22.46","295","00:50:22","142","164","0","0","26.8","33.7","--","--","0.00","0.0","0.0","0","74","94","--","0.0","--","0","0","0.0","0.0","3743","0","0","0","--","0:00","0.0","0:00","No","50:21.96.1","1","0.0","00:50:17","00:50:46","--","--"
Ciclismo virtual,2022-09-27 08:19:17,false,"Zwift - Zwift Academy Road: Workout 4 | Depleting Workout on Classique in France","21.28","303","00:51:04","--","--","0","0","25.0","57.8","154","--","0.00","0.0","0.0","0","74","93","114","0.0","114","104","258","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:15.00","19","0.0","00:50:28","00:51:04","10","121"
Ciclismo virtual,2022-09-26 11:13:32,false,"Zwift - Race: STAGE 4: GET ROLLINGPark Perimeter (D) on Park Perimeter Loop in New York","19.61","321","00:40:45","--","--","0","0","28.9","61.3","251","--","0.00","0.0","0.0","0","75","99","133","0.0","130","127","234","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","40:45.00","1","0.0","00:40:40","00:40:44","4","46"
Ciclismo en sala,2022-09-26 11:09:46,false,"Ciclismo en sala","17.77","305","00:46:51","151","178","0","0","22.8","34.6","--","--","0.00","0.0","0.0","0","73","99","--","0.0","--","0","0","0.0","0.0","3425","0","0","0","--","0:00","0.0","0:00","No","46:50.72.8","1","0.0","00:46:45","00:51:14","--","--"
Ciclismo virtual,2022-09-25 09:06:49,false,"Zwift - Sand And Sequoias in Watopia","23.50","292","00:48:30","--","--","0","0","29.1","50.4","181","--","0.00","0.0","0.0","0","77","95","111","0.0","118","105","245","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","48:30.48.7","1","0.0","00:48:25","00:48:34","11","83"
Ciclismo en sala,2022-09-25 09:06:44,false,"Ciclismo en sala","18.24","323","00:48:34","151","170","0","0","22.5","30.2","--","--","0.00","0.0","0.0","0","77","95","--","0.0","--","0","0","0.0","0.0","3746","0","0","0","--","0:00","0.0","0:00","No","48:34.04.1","1","0.0","00:48:34","00:48:34","--","--"
Caminar,2022-09-24 18:44:56,false,"Medellín Caminar","0.75","41","00:15:14","95","107","80","159","20:15","12:14","--","59","0.62","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","15:14.38","1","0.0","00:15:02","00:21:09","1,616","1,713"
Ciclismo virtual,2022-09-23 15:33:04,false,"Zwift - Endurance Free Ride in Richmond","20.31","312","00:50:28","--","--","0","0","24.1","62.7","242","--","0.00","0.0","0.0","0","69","91","117","0.0","115","107","208","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:29.00","2","0.0","00:50:23","00:50:27","4","57"
Ciclismo en sala,2022-09-23 15:32:55,false,"Ciclismo en sala","16.97","285","00:50:30","139","172","0","0","20.2","27.7","--","--","0.00","0.0","0.0","0","69","92","--","0.0","--","0","0","0.0","0.0","3513","0","0","0","--","0:00","0.0","0:00","No","50:30.35.1","1","0.0","00:50:22","00:50:59","--","--"
Caminar,2022-09-22 13:46:49,false,"Medellín Caminar","0.79","44","00:11:31","112","151","102","158","14:36","6:15","16","12","0.67","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","11:30.74.4","1","0.0","00:11:20","00:12:52","1,529","1,544"
Ciclismo virtual,2022-09-22 10:02:25,false,"Zwift - Tempo Over-Under in Watopia","21.37","312","00:50:40","--","--","0","0","25.3","63.0","169","--","0.00","0.0","0.0","0","78","94","111","0.0","114","107","190","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:18.00","13","0.0","00:50:26","00:50:39","-6","100"
Ciclismo en sala,2022-09-22 10:02:14,false,"Ciclismo en sala","21.27","316","00:50:43","145","157","0","0","25.2","30.3","--","--","0.00","0.0","0.0","0","78","98","--","0.0","--","0","0","0.0","0.0","3969","0","0","0","--","0:00","0.0","0:00","No","50:42.72.8","1","0.0","00:50:34","00:50:47","--","--"
Entreno de fuerza,2022-09-21 12:55:38,false,"Fuerza","0.00","135","00:44:47","105","141","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","5","1","0:00","0.0","0:00","No","44:46.82.4","1","0.0","00:44:47","00:44:47","--","--"
