Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Road Cycling,2022-07-27 06:19:05,false,"Bogota, D.C. - Resistencia en llano","54.12","770","01:59:39","146","165","3.5","0","0","27.1","47.3","141","151","0.00","0.0","0.0","0","86","101","99","72.5","107","97","200","0.0","0.0","9820","0","0","0","0:00","9.0","0:00","No","07:06.65.4","8","0.0","35","21","43","01:59:21","02:01:40","2,555","2,617"
Road Cycling,2022-07-24 07:30:33,false,"Santafé de Antioquia Road Cycling","40.72","976","01:44:27","0","0","0.1","0","0","23.4","60.4","463","469","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","23.0","0:00","No","02:31.88.6","6","0.0","--","--","--","01:44:22","01:47:26","495","735"
Road Cycling,2022-07-23 12:47:08,false,"Sopetrán Road Cycling","14.69","296","00:41:19","144","172","2.7","0","0","21.3","42.4","172","100","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","25.0","0:00","No","19:08.57.4","2","0.0","33","20","41","00:40:42","00:46:29","555","679"
Road Cycling,2022-07-20 07:07:43,false,"Bogota, D.C. - Resistencia con montaña Z5","90.25","1,536","04:23:56","143","189","5.0","0","0","20.5","56.1","896","875","0.00","0.0","0.0","0","81","106","114","198.1","158","98","257","0.0","0.0","17901","0","0","0","0:00","12.0","0:00","No","03:55.96.8","13","0.0","30","13","46","04:23:15","06:26:18","2,571","2,931"
Road Cycling,2022-07-19 05:26:33,false,"Bogota, D.C. - Tempo 3 x 15'","48.59","689","01:46:58","143","172","3.6","0","0","27.3","47.6","157","162","0.00","0.0","0.0","0","90","113","104","70.9","118","99","233","0.0","0.0","9100","0","0","0","0:00","9.0","0:00","No","00:19.37.8","11","0.0","33","19","46","01:46:34","01:50:18","2,567","2,659"
Road Cycling,2022-07-17 06:03:23,false,"Bogota, D.C. - Resistencia con montaña","128.75","2,249","05:18:27","154","183","5.0","0","0","24.3","59.1","1,388","1,378","0.00","0.0","0.0","0","81","110","120","282.1","148","114","340","0.0","0.0","23466","0","0","0","0:00","12.0","0:00","No","00:29.90.9","19","0.0","32","15","46","05:17:59","07:37:17","1,672","2,688"
Road Cycling,2022-07-16 06:40:45,false,"Bogota, D.C. Road Cycling","128.68","1,974","05:31:39","151","185","5.0","0","0","23.3","50.6","869","846","0.00","0.0","0.0","0","82","109","102","215.0","141","98","274","0.0","0.0","23610","0","0","0","0:00","11.0","0:00","No","14:47.40.1","16","0.0","32","16","42","05:27:00","06:37:54","2,548","3,060"
Road Cycling,2022-07-15 04:59:11,false,"Bogota, D.C. Road Cycling","37.91","688","01:55:20","150","195","4.8","0","0","19.7","55.0","514","520","0.00","0.0","0.0","0","80","108","121","104.7","165","113","294","0.0","0.0","7086","0","0","0","0:00","8.0","0:00","No","00:26.61.4","8","0.0","34","16","54","01:51:36","02:20:23","2,564","3,024"
Road Cycling,2022-07-14 05:59:59,false,"Bogota, D.C. - Easy ride","41.82","518","01:44:06","123","139","2.7","0","0","24.1","44.4","108","108","0.00","0.0","0.0","0","86","106","73","34.2","81","74","142","0.0","0.0","8463","0","0","0","0:00","8.0","0:00","No","00:11.50.3","9","0.0","27","16","36","01:43:36","01:46:32","2,551","2,651"
Road Cycling,2022-07-13 06:03:30,false,"Bogota, D.C. - Pirámide Z5","48.90","689","01:46:14","152","187","3.9","0","0","27.6","50.9","149","156","0.00","0.0","0.0","0","81","107","119","93.1","128","102","273","0.0","0.0","8079","0","0","0","0:00","10.0","0:00","No","00:30.00","26","0.0","34","19","44","01:45:08","01:47:08","2,562","2,669"
