Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Cadencia de carrera media,Cadencia de carrera máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Training Stress Score®,Potencia media,Potencia máxima,Dificultad,Fluidez,Brazadas totales,Swolf medio,Velocidad media de palada,Repeticiones totales,Tiempo de inmersión,Temperatura mínima,Intervalo en superficie,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Cardio,2022-07-21 19:24:48,false,"Cardio","0.00","646","02:00:52","111","153","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","02:00:51.51.6","1","0.0","00:00:00","02:00:52","--","--"
Cardio,2022-07-19 19:12:48,false,"Cardio","0.00","470","01:10:06","120","147","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:10:05.54.9","1","0.0","00:00:00","01:10:06","--","--"
Cardio,2022-07-18 19:08:48,false,"Cardio","0.00","700","01:36:37","129","155","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:36:37.32.7","1","0.0","00:00:00","01:36:37","--","--"
Cardio,2022-07-13 19:11:26,false,"Cardio","0.00","574","01:20:54","124","170","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:20:53.83.7","1","0.0","00:00:00","01:20:57","--","--"
Cardio,2022-07-12 19:13:24,false,"Cardio","0.00","615","01:40:12","117","170","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:40:12.45.5","1","0.0","00:00:00","01:40:12","--","--"
Cardio,2022-07-11 18:52:13,false,"Cardio","0.00","800","01:37:05","139","166","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:37:04.51.9","1","0.0","00:00:00","01:37:05","--","--"
Cardio,2022-07-08 19:37:51,false,"Cardio","0.00","385","01:17:19","107","140","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:17:18.97","1","0.0","00:00:00","01:17:19","--","--"
Cardio,2022-07-07 18:53:04,false,"Cardio","0.00","568","01:18:28","126","157","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:18:27.53.4","1","0.0","00:00:00","01:18:28","--","--"
Cardio,2022-07-06 19:20:07,false,"Cardio","0.00","637","01:13:58","137","166","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:13:57.51.2","1","0.0","00:00:00","01:13:58","--","--"
Ciclismo,2022-06-20 09:01:12,false,"Guamo Ciclismo","49.89","1,160","02:31:29","132","169","0","0","19.8","35.2","177","157","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","11:24.45.3","10","0.0","02:30:40","03:31:41","283","336"
Ciclismo,2022-06-18 09:30:46,false,"Guamo Ciclismo","48.60","1,315","02:22:22","149","180","0","0","20.5","54.7","323","309","0.00","0.0","0.0","0","62","105","0.0","0","0","0.0","0.0","7816","0","0","0","0:00","0.0","0:00","No","10:40.58.3","10","0.0","02:21:45","02:55:41","317","521"
