Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Road Cycling,2022-08-25 06:11:56,false,"Cajicá - Resistencia en llano","63.99","939","02:02:35","129","157","3.0","0","0","31.3","45.3","182","197","0.00","0.0","0.0","0","77","155","126","70.1","137","106","731","0.0","0.0","8500","0","0","0","0:00","10.0","0:00","No","00:02.35.7","12","0.0","25","16","34","02:02:15","02:03:20","2,568","2,606"
Road Cycling,2022-08-24 05:15:39,false,"Cajicá - Intervalos Variado","71.28","1,084","02:28:48","129","168","3.1","0","0","28.7","61.2","413","422","0.00","0.0","0.0","0","73","146","131","91.3","148","100","652","0.0","0.0","9596","0","0","0","0:00","4.0","0:00","No","00:02.96.7","22","0.0","25","15","38","02:28:28","02:28:48","2,571","2,738"
Road Cycling,2022-08-23 05:49:29,false,"Resistencia en llano","61.76","927","02:02:44","122","155","2.8","0","0","30.2","51.1","207","219","0.00","0.0","0.0","0","77","159","121","64.9","127","105","673","0.0","0.0","8712","0","0","0","0:00","6.0","0:00","No","00:04.56.6","12","0.0","23","14","30","02:02:23","02:03:24","2,547","2,584"
Road Cycling,2022-08-21 07:22:29,false,"Cajicá Road Cycling","91.82","1,775","03:55:39","137","188","4.2","0","0","23.4","51.8","1,173","1,155","0.00","0.0","0.0","0","75","162","153","199.5","202","104","677","0.0","0.0","13026","0","0","0","0:00","10.0","0:00","No","08:43.39.2","12","0.0","27","14","41","03:55:16","05:15:53","2,569","3,143"
Road Cycling,2022-08-20 07:18:38,false,"Cajicá - Resistencia con montaña","77.86","1,675","04:06:17","132","189","4.1","0","0","19.0","53.4","1,168","996","0.00","0.0","0.0","0","71","184","155","192.7","205","103","825","0.0","0.0","12159","0","0","0","0:00","12.0","0:00","No","03:26.88.4","13","0.0","26","14","42","03:40:25","05:30:13","2,576","2,913"
Road Cycling,2022-08-19 05:27:14,false,"Guasca - Pirámide Z5","48.00","1,089","02:04:42","141","182","4.0","0","0","23.1","65.9","997","1,000","0.00","0.0","0.0","0","66","155","160","115.4","188","125","412","0.0","0.0","7080","0","0","0","0:00","3.0","0:00","No","00:30.00","29","0.0","28","16","38","02:04:27","02:06:30","2,598","3,356"
Road Cycling,2022-08-18 05:40:32,false,"Cajicá - Fuerza Z3 en llano","63.36","975","02:06:57","129","152","3.0","0","0","29.9","49.1","217","228","0.00","0.0","0.0","0","69","124","124","70.4","134","107","528","0.0","0.0","8146","0","0","0","0:00","3.0","0:00","No","00:03.85.4","13","0.0","25","16","33","02:06:40","02:06:57","2,578","2,618"
Road Cycling,2022-08-17 05:37:17,false,"Cajicá - Resistencia con montaña Z4","44.26","949","02:10:25","133","180","3.2","0","0","20.4","52.9","784","792","0.00","0.0","0.0","0","66","151","146","99.2","196","100","722","0.0","0.0","6550","0","0","0","0:00","7.0","0:00","No","00:07.90.6","11","0.0","26","13","40","02:08:08","02:10:25","2,575","2,980"
Road Cycling,2022-08-14 05:26:07,false,"Cartagena Road Cycling","88.22","1,678","02:51:36","158","197","5.0","0","0","30.8","66.2","420","437","0.00","0.0","0.0","0","80","159","189","217.1","226","143","869","0.0","0.0","12579","0","0","0","0:00","24.0","0:00","No","02:36.75.7","12","0.0","34","18","44","02:50:39","04:15:58","-12","77"
Road Cycling,2022-08-13 05:53:27,false,"Cartagena - Recovery","38.83","575","01:54:17","106","142","2.0","0","0","20.4","37.3","92","87","0.00","0.0","0.0","0","72","178","80","26.4","85","64","481","0.0","0.0","6377","0","0","0","0:00","24.0","0:00","No","19:00.37.4","5","0.0","20","13","31","01:42:54","03:04:07","-11","17"
Road Cycling,2022-08-10 04:51:58,false,"Cajicá - Resistencia en llano","51.29","823","01:59:37","124","160","3.0","0","0","25.7","49.5","133","142","0.00","0.0","0.0","0","80","144","121","64.9","113","93","550","0.0","0.0","8645","0","0","0","0:00","9.0","0:00","No","00:01.26.1","10","0.0","24","13","35","01:46:15","01:59:37","2,566","2,607"
Road Cycling,2022-08-09 18:36:08,false,"Cajicá - RampUp (MODIFICADO)","27.74","504","01:04:11","122","161","2.9","0","0","25.9","43.5","--","7","0.00","0.0","0.0","0","74","118","127","38.6","144","110","258","0.0","0.0","4720","0","0","0","0:00","18.0","0:00","No","00:03.17.4","18","0.0","24","14","36","01:03:16","01:05:52","2,588","2,603"
Mountain Biking,2022-08-06 05:43:57,false,"Purificación Mountain Biking","94.21","1,977","05:11:42","134","173","4.0","0","0","18.1","49.8","1,457","1,465","0.00","0.0","0.0","0","68","183","--","0.0","--","0","0","153.2","1.9","18719","0","0","0","0:00","17.0","0:00","No","05:11:41.63.6","1","0.0","27","13","38","05:03:37","05:25:58","301","1,419"
Mountain Biking,2022-08-05 06:09:42,false,"Purificación - Recovery","36.77","513","01:41:58","117","156","1.6","0","0","21.6","48.7","234","246","0.00","0.0","0.0","0","70","109","--","0.0","--","0","0","17.7","2.2","6249","0","0","0","0:00","22.0","0:00","No","00:04.57.2","3","0.0","22","13","30","01:39:55","01:41:58","299","374"
Mountain Biking,2022-08-04 05:52:53,false,"Purificación - Resistencia en llano","56.14","856","02:34:58","125","154","2.3","0","0","21.7","34.9","211","225","0.00","0.0","0.0","0","77","109","--","0.0","--","0","0","7.3","1.2","11665","0","0","0","0:00","21.0","0:00","No","00:03.42","5","0.0","24","15","34","02:34:51","02:35:02","234","328"
